"unique_plant_ID","species","functional_group","date_measurement","date_planting","collector","survival","height_vegetative_str","height_reproductive_str","height_vegetative","height_reproductive","vegetative_width","height_nathan","stem_diameter","leaf_length1","leaf_length2","leaf_length3","leaf_width","petiole_length","number_leaves","number_tillers","number_branches","number_leafclusters","number_flowers","mean_inflorescence_size","herbivory"
"CHE.hi.ambi.bare.wf.09.20.1","silvul","forb",2021-08-18,2021-06-17,"PS","1",61,NA,NA,NA,NA,NA,NA,21,21,24,NA,NA,64,NA,NA,NA,NA,NA,"1"
"CHE.hi.ambi.bare.wf.09.21.1","medlup","legume",2021-08-18,2021-06-17,"PS","1",70,18,NA,NA,NA,NA,NA,12,11,10,NA,NA,39,NA,NA,NA,2,NA,"0"
"CHE.hi.ambi.bare.wf.09.22.1","silvul","forb",2021-08-18,2021-06-17,"PS","1",105,98,NA,NA,NA,NA,NA,27,26,35,NA,NA,104,NA,NA,NA,3,NA,"0"
"CHE.hi.ambi.bare.wf.09.23.2","scacol","forb",2021-08-18,2021-06-23,"PS","1",38,NA,NA,NA,NA,NA,NA,38,36,28,NA,NA,13,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.09.24.1","scacol","forb",2021-08-18,2021-06-17,"PS","1",32,NA,NA,NA,NA,NA,NA,30,29,24,NA,NA,12,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.09.25.1","cenjac","forb",2021-08-18,2021-06-17,"PS","1",69,NA,NA,NA,NA,NA,NA,63,50,40,NA,NA,10,NA,NA,NA,NA,NA,"1"
"CHE.hi.ambi.bare.wf.09.26.1","salpra","forb",2021-08-18,2021-06-17,"PS","1",42,NA,NA,NA,NA,NA,NA,40,37,36,NA,NA,9,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.09.27.1","medlup","legume",2021-08-18,2021-06-17,"PS","1",18,NA,NA,NA,NA,NA,NA,8,7,8,NA,NA,24,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.09.28.1","salpra","forb",2021-08-18,2021-06-17,"PS","1",44,NA,NA,NA,NA,NA,NA,42,37,30,NA,NA,10,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.09.29.1","plamed","forb",2021-08-18,2021-06-17,"PS","1",34,NA,NA,NA,NA,NA,NA,34,23,22,NA,NA,9,NA,NA,NA,NA,NA,"1"
"CHE.hi.ambi.bare.wf.09.30.1","cenjac","forb",2021-08-18,2021-06-17,"PS","1",126,NA,NA,NA,NA,NA,NA,111,56,44,NA,NA,9,NA,NA,NA,NA,NA,"1"
"CHE.hi.ambi.vege.wf.09.01.1","brapin","graminoid",2021-08-19,2021-06-17,"EI","1",88,NA,NA,NA,NA,NA,NA,80,52,41,NA,NA,7,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.02.1","daucar","forb",2021-08-19,2021-06-17,"EI","1",84,NA,NA,NA,NA,NA,NA,64,37,44,NA,NA,4,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.03.1","broere","graminoid",2021-08-19,2021-06-17,"EI","1",172,NA,NA,NA,NA,NA,NA,155,88,69,NA,NA,7,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.04.1","broere","graminoid",2021-08-19,2021-06-17,"EI","1",109,NA,NA,NA,NA,NA,NA,95,64,53,NA,NA,9,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.05.1","hypper","forb",2021-08-19,2021-06-17,"EI","1",50,NA,NA,NA,NA,NA,NA,14,10,10,NA,NA,20,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.06.1","scacol","forb",2021-08-19,2021-06-23,"EI","1",48,NA,NA,NA,NA,NA,NA,38,40,33,NA,NA,7,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.07.1","broere","graminoid",2021-08-19,2021-06-17,"EI","1",205,NA,NA,NA,NA,NA,NA,181,130,98,NA,NA,5,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.08.1","brapin","graminoid",2021-08-19,2021-06-17,"EI","1",105,NA,NA,NA,NA,NA,NA,74,15,10,NA,NA,5,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.09.1","medlup","legume",2021-08-19,2021-06-17,"EI","1",37,NA,NA,NA,NA,NA,NA,10,9,8,NA,NA,5,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.10.1","plamed","forb",2021-08-19,2021-06-17,"EI","1",37,NA,NA,NA,NA,NA,NA,37,32,27,NA,NA,7,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.11.1","silvul","forb",2021-08-19,2021-06-17,"EI","1",72,NA,NA,NA,NA,NA,NA,29,29,15,NA,NA,15,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.12.1","daucar","forb",2021-08-19,2021-06-17,"EI","1",150,NA,NA,NA,NA,NA,NA,129,81,50,NA,NA,7,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.13.2","daucar","forb",2021-08-19,2021-06-23,"EI","1",102,NA,NA,NA,NA,NA,NA,84,40,37,NA,NA,6,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.14.1","cenjac","forb",2021-08-19,2021-06-17,"EI","1",81,NA,NA,NA,NA,NA,NA,66,52,52,NA,NA,3,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.15.1","hypper","forb",2021-08-19,2021-06-17,"EI","1",37,NA,NA,NA,NA,NA,NA,14,10,10,NA,NA,18,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.16.1","brapin","graminoid",2021-08-19,2021-06-17,"EI","1",138,NA,NA,NA,NA,NA,NA,121,49,27,NA,NA,5,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.17.1","plamed","forb",2021-08-19,2021-06-17,"EI","1",34,NA,NA,NA,NA,NA,NA,31,19,16,NA,NA,8,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.18.1","hypper","forb",2021-08-19,2021-06-17,"EI","1",71,NA,NA,NA,NA,NA,NA,13,10,9,NA,NA,33,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.19.1","salpra","forb",2021-08-19,2021-06-17,"EI","1",57,NA,NA,NA,NA,NA,NA,48,30,29,NA,NA,9,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.20.1","silvul","forb",2021-08-19,2021-06-17,"EI","1",43,NA,NA,NA,NA,NA,NA,29,25,23,NA,NA,22,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.21.1","medlup","legume",2021-08-19,2021-06-17,"EI","1",45,NA,NA,NA,NA,NA,NA,12,11,10,NA,NA,17,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.22.1","silvul","forb",2021-08-19,2021-06-17,"EI","1",86,NA,NA,NA,NA,NA,NA,27,26,23,NA,NA,22,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.23.2","scacol","forb",2021-08-19,2021-06-23,"EI","1",51,NA,NA,NA,NA,NA,NA,42,40,27,NA,NA,8,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.24.2","scacol","forb",2021-08-19,2021-06-23,"EI","1",55,NA,NA,NA,NA,NA,NA,49,42,37,NA,NA,7,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.25.1","cenjac","forb",2021-08-19,2021-06-17,"EI","1",83,NA,NA,NA,NA,NA,NA,72,57,40,NA,NA,4,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.26.1","salpra","forb",2021-08-19,2021-06-17,"EI","1",55,NA,NA,NA,NA,NA,NA,50,45,29,NA,NA,8,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.27.1","medlup","legume",2021-08-19,2021-06-17,"EI","1",54,NA,NA,NA,NA,NA,NA,12,11,11,NA,NA,23,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.28.1","salpra","forb",2021-08-19,2021-06-17,"EI","1",57,NA,NA,NA,NA,NA,NA,46,48,33,NA,NA,6,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.29.1","plamed","forb",2021-08-19,2021-06-17,"EI","1",31,NA,NA,NA,NA,NA,NA,30,29,26,NA,NA,6,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.09.30.1","cenjac","forb",2021-08-19,2021-06-17,"EI","1",100,NA,NA,NA,NA,NA,NA,89,69,58,NA,NA,5,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.01.1","brapin","graminoid",2021-08-19,2021-06-17,"EI","1",74,NA,NA,NA,NA,NA,NA,42,42,41,NA,NA,10,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.02.1","daucar","forb",2021-08-19,2021-06-17,"EI","1",117,NA,NA,NA,NA,NA,NA,115,72,68,NA,NA,5,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.03.1","broere","graminoid",2021-08-19,2021-06-17,"EI","1",181,NA,NA,NA,NA,NA,NA,107,61,160,NA,NA,10,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.04.1","broere","graminoid",2021-08-19,2021-06-23,"EI","1",195,NA,NA,NA,NA,NA,NA,165,164,72,NA,NA,11,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.05.1","hypper","forb",2021-08-19,2021-06-17,"EI","1",71,NA,NA,NA,NA,NA,NA,20,15,8,NA,NA,34,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.06.1","scacol","forb",2021-08-19,2021-06-17,"EI","1",57,NA,NA,NA,NA,NA,NA,54,52,50,NA,NA,9,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.07.1","broere","graminoid",2021-08-19,2021-06-17,"EI","1",168,NA,NA,NA,NA,NA,NA,138,84,60,NA,NA,6,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.08.1","brapin","graminoid",2021-08-19,2021-06-17,"EI","1",112,NA,NA,NA,NA,NA,NA,61,50,27,NA,NA,9,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.09.2","medlup","legume",NA,2021-09-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHE.hi.ambi.vege.wf.10.10.1","plamed","forb",2021-08-19,2021-06-17,"EI","1",50,NA,NA,NA,NA,NA,NA,48,31,22,NA,NA,7,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.11.1","silvul","forb",2021-08-19,2021-06-17,"EI","1",71,NA,NA,NA,NA,NA,NA,38,33,27,NA,NA,22,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.12.1","daucar","forb",2021-08-19,2021-06-17,"EI","1",124,NA,NA,NA,NA,NA,NA,111,86,77,NA,NA,5,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.13.1","daucar","forb",2021-08-19,2021-06-17,"EI","1",133,NA,NA,NA,NA,NA,NA,110,82,82,NA,NA,4,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.14.1","cenjac","forb",2021-08-19,2021-06-17,"EI","1",78,NA,NA,NA,NA,NA,NA,74,49,37,NA,NA,6,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.15.1","hypper","forb",2021-08-19,2021-06-17,"EI","1",56,NA,NA,NA,NA,NA,NA,17,18,14,NA,NA,30,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.16.1","brapin","graminoid",2021-08-19,2021-06-17,"EI","1",88,NA,NA,NA,NA,NA,NA,67,45,36,NA,NA,7,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.17.1","plamed","forb",2021-08-19,2021-06-23,"EI","1",58,NA,NA,NA,NA,NA,NA,54,50,53,NA,NA,7,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.18.1","hypper","forb",2021-08-19,2021-06-17,"EI","1",73,NA,NA,NA,NA,NA,NA,19,18,14,NA,NA,40,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.19.2","salpra","forb",2021-08-19,2021-07-27,"EI","1",51,NA,NA,NA,NA,NA,NA,43,40,36,NA,NA,8,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.20.1","silvul","forb",2021-08-19,2021-06-17,"EI","1",71,NA,NA,NA,NA,NA,NA,26,24,23,NA,NA,8,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.21.1","medlup","legume",2021-08-19,2021-06-17,"EI","1",43,NA,NA,NA,NA,NA,NA,7,7,8,NA,NA,3,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.22.1","silvul","forb",2021-08-19,2021-06-17,"EI","1",100,NA,NA,NA,NA,NA,NA,27,27,25,NA,NA,19,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.23.1","scacol","forb",2021-08-19,2021-06-23,"EI","1",55,NA,NA,NA,NA,NA,NA,47,48,39,NA,NA,7,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.24.1","scacol","forb",2021-08-19,2021-06-17,"EI","1",41,NA,NA,NA,NA,NA,NA,37,38,38,NA,NA,8,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.25.1","cenjac","forb",2021-08-19,2021-06-17,"EI","1",123,NA,NA,NA,NA,NA,NA,120,116,107,NA,NA,6,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.26.1","salpra","forb",2021-08-19,2021-06-17,"EI","1",44,NA,NA,NA,NA,NA,NA,43,42,20,NA,NA,7,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.27.1","medlup","legume",2021-08-19,2021-06-17,"EI","1",65,NA,NA,NA,NA,NA,NA,11,11,10,NA,NA,5,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.28.1","salpra","forb",2021-08-19,2021-06-17,"EI","1",49,NA,NA,NA,NA,NA,NA,42,43,43,NA,NA,3,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.29.1","plamed","forb",2021-08-19,2021-06-17,"EI","1",69,NA,NA,NA,NA,NA,NA,65,52,34,NA,NA,4,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.10.30.2","cenjac","forb",2021-08-19,2021-07-27,"EI","1",118,NA,NA,NA,NA,NA,NA,105,75,60,NA,NA,4,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.10.01.1","brapin","graminoid",2021-08-18,2021-06-17,"PS","1",131,NA,NA,NA,NA,NA,NA,92,81,70,NA,NA,72,NA,NA,NA,NA,NA,"1"
"CHE.hi.ambi.bare.wf.10.02.1","daucar","forb",2021-08-18,2021-06-17,"PS","1",141,NA,NA,NA,NA,NA,NA,141,121,110,NA,NA,15,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.10.03.1","broere","graminoid",2021-08-18,2021-06-17,"PS","1",210,NA,NA,NA,NA,NA,NA,206,144,113,NA,NA,16,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.10.04.1","broere","graminoid",2021-08-18,2021-06-17,"PS","1",195,NA,NA,NA,NA,NA,NA,188,174,125,NA,NA,45,NA,NA,NA,NA,NA,"1"
"CHE.hi.ambi.bare.wf.10.05.1","hypper","forb",2021-08-18,2021-06-17,"PS","1",62,NA,NA,NA,NA,NA,NA,14,15,15,NA,NA,208,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.10.06.1","scacol","forb",2021-08-18,2021-06-17,"PS","1",62,NA,NA,NA,NA,NA,NA,61,60,60,NA,NA,14,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.10.07.1","broere","graminoid",2021-08-18,2021-06-17,"PS","1",205,NA,NA,NA,NA,NA,NA,205,120,132,NA,NA,55,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.10.08.1","brapin","graminoid",2021-08-18,2021-06-17,"PS","1",190,NA,NA,NA,NA,NA,NA,125,81,43,NA,NA,37,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.10.09.1","medlup","legume",2021-08-18,2021-06-17,"PS","1",41,15,NA,NA,NA,NA,NA,11,10,10,NA,NA,64,NA,NA,NA,4,NA,"0"
"CHE.hi.ambi.bare.wf.10.10.1","plamed","forb",2021-08-18,2021-06-17,"PS","1",35,NA,NA,NA,NA,NA,NA,37,32,30,NA,NA,13,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.10.11.1","silvul","forb",2021-08-18,2021-06-17,"PS","1",201,304,NA,NA,NA,NA,NA,55,55,59,NA,NA,292,NA,NA,NA,41,NA,"0"
"CHE.hi.ambi.bare.wf.10.12.1","daucar","forb",2021-08-18,2021-06-17,"PS","1",178,NA,NA,NA,NA,NA,NA,175,150,161,NA,NA,16,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.10.13.1","daucar","forb",2021-08-18,2021-06-17,"PS","1",103,NA,NA,NA,NA,NA,NA,103,97,86,NA,NA,11,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.10.14.1","cenjac","forb",2021-08-18,2021-06-17,"PS","1",85,NA,NA,NA,NA,NA,NA,82,81,85,NA,NA,13,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.10.15.1","hypper","forb",2021-08-18,2021-06-17,"PS","1",59,NA,NA,NA,NA,NA,NA,17,17,15,NA,NA,192,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.10.16.1","brapin","graminoid",2021-08-18,2021-06-17,"PS","1",136,NA,NA,NA,NA,NA,NA,107,40,54,NA,NA,40,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.10.17.1","plamed","forb",2021-08-18,2021-06-17,"PS","1",37,NA,NA,NA,NA,NA,NA,36,35,34,NA,NA,13,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.10.18.1","hypper","forb",2021-08-18,2021-06-17,"PS","1",30,NA,NA,NA,NA,NA,NA,14,12,11,NA,NA,132,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.10.19.1","salpra","forb",2021-08-18,2021-06-17,"PS","1",45,NA,NA,NA,NA,NA,NA,45,46,46,NA,NA,12,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.10.20.1","silvul","forb",2021-08-18,2021-06-17,"PS","1",194,345,NA,NA,NA,NA,NA,35,30,34,NA,NA,178,NA,NA,NA,15,NA,"0"
"CHE.hi.ambi.bare.wf.10.21.1","medlup","legume",2021-08-18,2021-06-17,"PS","1",25,NA,NA,NA,NA,NA,NA,10,7,8,NA,NA,42,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.10.22.1","silvul","forb",2021-08-18,2021-06-17,"PS","1",184,425,NA,NA,NA,NA,NA,40,42,36,NA,NA,348,NA,NA,NA,142,NA,"0"
"CHE.hi.ambi.bare.wf.10.23.1","scacol","forb",2021-08-18,2021-06-17,"PS","1",49,NA,NA,NA,NA,NA,NA,46,42,46,NA,NA,20,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.10.24.1","scacol","forb",2021-08-18,2021-06-17,"PS","1",56,NA,NA,NA,NA,NA,NA,54,50,44,NA,NA,21,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.10.25.1","cenjac","forb",2021-08-18,2021-06-17,"PS","1",72,NA,NA,NA,NA,NA,NA,71,58,61,NA,NA,10,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.10.26.1","salpra","forb",2021-08-18,2021-06-17,"PS","1",26,NA,NA,NA,NA,NA,NA,26,23,18,NA,NA,7,NA,NA,NA,NA,NA,"1"
"CHE.hi.ambi.bare.wf.10.27.2","medlup","legume",2021-08-18,2021-06-23,"PS","1",56,NA,NA,NA,NA,NA,NA,14,11,10,NA,NA,34,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.10.28.1","salpra","forb",2021-08-18,2021-06-17,"PS","1",51,NA,NA,NA,NA,NA,NA,50,41,52,NA,NA,13,NA,NA,NA,NA,NA,"1"
"CHE.hi.ambi.bare.wf.10.29.2","plamed","forb",2021-08-18,2021-06-23,"PS","1",42,NA,NA,NA,NA,NA,NA,37,42,36,NA,NA,15,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.10.30.2","cenjac","forb",2021-08-18,2021-06-23,"PS","1",143,NA,NA,NA,NA,NA,NA,143,75,76,NA,NA,11,NA,NA,NA,NA,NA,"1"
"CHE.hi.warm.vege.wf.01.08.1","brapin","graminoid",2021-08-18,2021-06-17,"EI","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHE.lo.ambi.bare.wf.07.01.3","broere","graminoid",NA,2021-09-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHE.lo.ambi.bare.wf.07.03.2","brapin","graminoid",2021-08-16,2021-06-22,"PS","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHE.hi.warm.vege.wf.01.01.1","brapin","graminoid",2022-08-02,2021-06-17,"EI","1",173,NA,NA,NA,NA,NA,NA,140,128,112,NA,NA,9,NA,NA,NA,NA,NA,"0"
"CHE.hi.warm.vege.wf.01.08.1","brapin","graminoid",2022-08-02,2021-06-17,"EI","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHE.hi.warm.vege.wf.01.16.1","brapin","graminoid",2022-08-02,2021-06-17,"EI","1",170,NA,NA,NA,NA,NA,NA,117,107,105,NA,NA,13,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.01.01.1","brapin","graminoid",2022-08-02,2021-06-17,"EI","1",224,NA,NA,NA,NA,NA,NA,187,171,159,NA,NA,15,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.01.08.1","brapin","graminoid",2022-08-02,2021-06-17,"EI","1",149,NA,NA,NA,NA,NA,NA,101,94,88,NA,NA,11,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.01.16.1","brapin","graminoid",2022-08-02,2021-06-17,"EI","1",129,NA,NA,NA,NA,NA,NA,94,89,74,NA,NA,7,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.01.01.1","brapin","graminoid",2022-08-02,2021-06-17,"MS","1",392,NA,NA,NA,NA,NA,NA,252,276,264,NA,NA,128,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.01.08.1","brapin","graminoid",2022-08-02,2021-06-17,"MS","1",453,686,NA,NA,NA,NA,NA,96,132,121,NA,NA,108,NA,NA,NA,48,79,"0"
"CHE.hi.ambi.bare.wf.01.16.1","brapin","graminoid",2022-08-02,2021-06-17,"MS","1",441,606,NA,NA,NA,NA,NA,204,193,164,NA,NA,42,NA,NA,NA,8,99,"0"
"CHE.hi.warm.bare.wf.01.01.1","brapin","graminoid",2022-08-02,2021-06-17,"EI","1",158,NA,NA,NA,NA,NA,NA,111,106,104,NA,NA,39,NA,NA,NA,NA,NA,"0"
"CHE.hi.warm.bare.wf.01.08.1","brapin","graminoid",2022-08-02,2021-06-17,"EI","1",432,644,NA,NA,NA,NA,NA,179,144,139,NA,NA,116,NA,NA,NA,1,50,"1"
"CHE.hi.warm.bare.wf.01.16.1","brapin","graminoid",2022-08-02,2021-06-17,"EI","1",438,697,NA,NA,NA,NA,NA,196,192,184,NA,NA,162,NA,NA,NA,1,71,"0"
"CHE.hi.ambi.vege.wf.02.01.1","brapin","graminoid",2022-08-02,2021-06-17,"EI","1",221,NA,NA,NA,NA,NA,NA,183,157,154,NA,NA,10,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.02.08.1","brapin","graminoid",2022-08-02,2021-06-17,"EI","1",181,NA,NA,NA,NA,NA,NA,151,132,124,NA,NA,24,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.02.16.1","brapin","graminoid",2022-08-02,2021-06-17,"EI","1",148,NA,NA,NA,NA,NA,NA,125,121,119,NA,NA,10,NA,NA,NA,NA,NA,"0"
"CHE.hi.warm.bare.wf.02.01.1","brapin","graminoid",2022-08-02,2021-06-17,"EI","1",532,759,NA,NA,NA,NA,NA,206,186,229,NA,NA,118,NA,NA,NA,1,82,"0"
"CHE.hi.warm.bare.wf.02.08.1","brapin","graminoid",2022-08-02,2021-06-17,"EI","1",557,825,NA,NA,NA,NA,NA,231,226,225,NA,NA,86,NA,NA,NA,1,96,"0"
"CHE.hi.warm.bare.wf.02.16.1","brapin","graminoid",2022-08-02,2021-06-17,"EI","1",212,NA,NA,NA,NA,NA,NA,169,160,157,NA,NA,64,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.02.01.1","brapin","graminoid",2022-08-02,2021-06-17,"MS","1",159,NA,NA,NA,NA,NA,NA,159,154,155,NA,NA,86,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.bare.wf.02.08.1","brapin","graminoid",2022-08-02,2021-06-17,"MS","1",303,455,NA,NA,NA,NA,NA,152,128,145,NA,NA,76,NA,NA,NA,11,68,"0"
"CHE.hi.ambi.bare.wf.02.16.1","brapin","graminoid",2022-08-02,2021-06-17,"MS","1",336,532,NA,NA,NA,NA,NA,186,156,149,NA,NA,56,NA,NA,NA,6,89,"0"
"CHE.hi.warm.vege.wf.02.01.1","brapin","graminoid",2022-08-02,2021-06-17,"EI","1",146,NA,NA,NA,NA,NA,NA,103,83,96,NA,NA,13,NA,NA,NA,NA,NA,"0"
"CHE.hi.warm.vege.wf.02.08.1","brapin","graminoid",2022-08-02,2021-06-17,"EI","1",213,NA,NA,NA,NA,NA,NA,138,137,102,NA,NA,14,NA,NA,NA,NA,NA,"0"
"CHE.hi.warm.vege.wf.02.16.1","brapin","graminoid",2022-08-02,2021-06-17,"EI","1",190,NA,NA,NA,NA,NA,NA,141,130,149,NA,NA,19,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.03.01.1","brapin","graminoid",2022-08-02,2021-06-17,"EI","1",114,NA,NA,NA,NA,NA,NA,95,98,78,NA,NA,8,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.03.08.1","brapin","graminoid",2022-08-02,2021-06-17,"EI","1",130,NA,NA,NA,NA,NA,NA,106,97,94,NA,NA,12,NA,NA,NA,NA,NA,"0"
"CHE.hi.ambi.vege.wf.03.16.1","brapin","graminoid",2022-08-02,2021-06-17,"EI","1",169,NA,NA,NA,NA,NA,NA,142,136,127,NA,NA,12,NA,NA,NA,NA,NA,"1"
"CHE.hi.warm.bare.wf.03.01.1","brapin","graminoid",2022-08-02,2021-06-17,"EI","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
